Theme Folder,PDF Filename,APA Citation (from 04_References/04References.md),In-Text Citation
02_PUF_Authentication,A_PUF_based_Authentication_Technique_for_IoT_Devices.pdf,"Kumar, D., & Mondal, B. (2024). A PUF based authentication technique for IoT devices. In 2024 IEEE 1st International Conference on Green Industrial Electronics and Sustainable Technologies (GIEST) (pp. 1-6). IEEE.",(Kumar & Mondal 2024)
02_PUF_Authentication,Design_of_a_Hardware_Based_Security_Framework_for_Generic_IOT_Device_Authentication_Using_PUF.pdf,"Princess, N. R. A., & Premarathne, U. S. (2025). Design of a hardware-based security framework for generic IoT device authentication using PUF. In 2025 10th International Conference on Information Technology Research (ICITR) (pp. 1-5). IEEE.",(Princess & Premarathne 2025)
02_PUF_Authentication,Joint_Heterogeneous_PUF-Based_Security-Enhanced_IoT_Authentication.pdf,"Yoon, S., Han, S., & Hwang, E. S. (2023). Joint heterogeneous PUF-based security-enhanced IoT authentication. IEEE Internet of Things Journal.",(Yoon et al. 2023)
02_PUF_Authentication,Novel_PUF-Based_Authentication_Protocol_for_IoT_Devices_with_Secure_Boot_and_Fuzzy_Matching.pdf,"Pham, H.-L., Tran-Thi, T.-Q., Bui, D.-H., & Tran, X.-T. (2023). Novel PUF-based authentication protocol for IoT devices with secure boot and fuzzy matching. In 2023 International Conference on Advanced Technologies for Communications (ATC). IEEE.",(Pham et al. 2023)
02_PUF_Authentication,PUF-Based_Authentication_in_IoT_Against_Strong_Physical_Adversary_Using_Zero-Knowledge_Proofs.pdf,"Petzi, L., Dmitrienko, A., & Visconti, I. (2024). PUF-based authentication in IoT against strong physical adversary using zero-knowledge proofs. In 2024 IEEE Security and Privacy Workshops (SPW) (pp. 312-319). IEEE.",(Petzi et al. 2024)
02_PUF_Authentication,Practical_and_Efficient_PUF-Based_Protocol_for_Authentication_and_Key_Agreement_in_IoT.pdf,"Manivannan, S., Chakraborty, R. S., Chakrabarti, I., & Rangasamy, J. (2024). Practical and efficient PUF-based protocol for authentication and key agreement in IoT. IEEE Embedded Systems Letters.",(Manivannan et al. 2024)
03_Blockchain_Authentication,Blockchain-based_Device_Identity_Management_with_Consensus_Authentication_for_IoT_Devices.pdf,"Mukhandi, M., Damiao, F., Granjal, J., & Vilela, J. P. (2022). Blockchain-based device identity management with consensus authentication for IoT devices. In 2022 IEEE 19th Annual Consumer Communications & Networking Conference (CCNC) (pp. 433-436). IEEE.",(Mukhandi et al. 2022)
03_Blockchain_Authentication,Blockchain-based_Digital_Identity_for_Secure_Authentication_of_IoT_Devices_In_5G_Networks.pdf,"Aanandaram, V., & Deepalakshmi, P. (2024). Blockchain-based digital identity for secure authentication of IoT devices in 5G networks. In 2024 Third International Conference on Intelligent Techniques in Control, Optimization and Signal Processing (INCOS) (pp. 1-6). IEEE.",(Aanandaram & Deepalakshmi 2024)
03_Blockchain_Authentication,Blockchain-Based_Mutual_Authentication_Protocol_for_IoT-Enabled_Decentralized_Healthcare_Environment.pdf,"Chen, C.-M., Chen, Z., Kumari, S., Obaidat, M. S., Rodrigues, J. J. P. C., & Khan, M. K. (2024). Blockchain-based mutual authentication protocol for IoT-enabled decentralized healthcare environment. IEEE Internet of Things Journal, 11(14), 25394-25412.",(Chen et al. 2024)
03_Blockchain_Authentication,Blockchain-Based_Key_Management_and_Authentication_Scheme_for_IoT_Networks_With_Chaotic_Scrambling.pdf,"Zheng, J., Zhang, L., Feng, Y., & Wu, Z. (2023). Blockchain-based key management and authentication scheme for IoT networks with chaotic scrambling. IEEE Transactions on Network Science and Engineering, 10(1), 178-188.",(Zheng et al. 2023)
03_Blockchain_Authentication,An_Efficient_and_Privacy-Preserving_Blockchain-Based_Authentication_Scheme_for_Low_Earth_Orbit_Satellite-Assisted_Internet_of_Things.pdf,"Wang, B., Chang, Z., Li, S., & Hamalainen, T. (2022). An efficient and privacy-preserving blockchain-based authentication scheme for Low Earth Orbit satellite-assisted Internet of Things. IEEE Transactions on Aerospace and Electronic Systems, 58(6), 5153-5164.",(Wang et al. 2022)
04_Other_Supporting_Papers,Fuel_Monitoring_System_based_on_IoT_Overview_and_Device_Authentication.pdf,"Nita, S. L., & Mihailescu, M. I. (2022). Fuel monitoring system based on IoT: Overview and device authentication. In 2022 14th International Conference on Communications (COMM) (pp. 1-4). IEEE.",(Nita & Mihailescu 2022)
